state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
LA,gas supply,294,0,644363,0,288,0,18,0,634279,0,10084,0,992,0,2002
LA,transit,1403,0,4074135,0,1393,0,19,0,4053967,0,20168,0,1657,0,2002
LA,education - elementary and secondary instructional,72917,0,200210010,0,69923,0,9064,0,196135839,0,4074171,0,503147,0,2002
LA,education - elementary and secondary other,32494,0,52071394,0,30408,0,5955,0,48554673,0,3516721,0,352880,0,2002
LA,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
LA,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
LA,libraries,2234,0,4344702,0,1819,0,921,0,3740845,0,603857,0,72226,0,2002
LA,other and unallocable,3990,0,8762949,0,3776,0,522,0,8422650,0,340299,0,38576,0,2002
ME,total,51820,0,133870353,0,44830,0,20591,0,120412280,0,13458073,0,1188438,0,2002
ME,financial administration,1153,0,2904284,0,953,0,710,0,2492016,0,412268,0,36063,0,2002
ME,other government administration,1161,0,3383358,0,921,0,1659,0,2756912,0,626446,0,45118,0,2002
ME,judicial and legal,253,0,589492,0,210,0,96,0,501681,0,87811,0,7676,0,2002
ME,police protection - officers,2021,0,6749545,0,1851,0,437,0,6444382,0,305163,0,29668,0,2002
ME,police protection - other,613,0,1455151,0,490,0,387,0,1254436,0,200715,0,21578,0,2002
ME,fire protection - firefighters,1405,0,3982591,0,1090,0,2637,0,3535001,0,447590,0,55946,0,2002
ME,fire protection - other,75,0,207027,0,61,0,45,0,181690,0,25337,0,2616,0,2002
ME,corrections,580,0,1463101,0,495,0,167,0,1318390,0,144711,0,15138,0,2002
ME,highways,1833,0,4894334,0,1677,0,370,0,4596941,0,297393,0,27297,0,2002
ME,air transportation,173,0,509789,0,148,0,72,0,452473,0,57316,0,4493,0,2002
ME,water transport and terminals,30,0,77819,0,23,0,31,0,64117,0,13702,0,1258,0,2002
ME,public welfare,380,0,929459,0,284,0,206,0,723751,0,205708,0,16284,0,2002
ME,health,207,0,535036,0,119,0,438,0,347974,0,187062,0,16335,0,2002
ME,hospitals,595,0,1727392,0,514,0,142,0,1550781,0,176611,0,14203,0,2002
ME,solid waste management,508,0,1249251,0,383,0,304,0,1051477,0,197774,0,22916,0,2002
ME,sewerage,630,0,1824206,0,601,0,90,0,1776123,0,48083,0,4700,0,2002
ME,parks and recreation,731,0,1618992,0,411,0,922,0,1111556,0,507436,0,55780,0,2002
ME,housing and community development,477,0,1289187,0,436,0,83,0,1230720,0,58467,0,6486,0,2002
ME,natural resources,45,0,108590,0,40,0,19,0,97596,0,10994,0,1182,0,2002
ME,water transport and terminals,615,0,1743201,0,572,0,178,0,1659603,0,83598,0,7136,0,2002
ME,electric power,30,0,99151,0,27,0,6,0,94391,0,4760,0,344,0,2002
ME,gas supply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
ME,transit,89,0,302745,0,76,0,28,0,256562,0,46183,0,2090,0,2002
ME,education - elementary and secondary instructional,27442,0,74973357,0,25154,0,5904,0,70201994,0,4771363,0,380164,0,2002
ME,education - elementary and secondary other,9795,0,18947370,0,7647,0,4299,0,15005158,0,3942212,0,354018,0,2002
ME,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
ME,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
ME,libraries,375,0,821961,0,222,0,389,0,560802,0,261159,0,26834,0,2002
ME,other and unallocable,604,0,1483964,0,425,0,972,0,1145753,0,338211,0,33115,0,2002
MD,total,193309,0,707198134,0,169336,0,52897,0,649016102,0,58182032,0,4028374,0,2002
MD,financial administration,2272,0,8765037,0,2214,0,142,0,8603956,0,161081,0,9395,0,2002
MD,other government administration,3231,0,12294683,0,2862,0,1101,0,10869994,0,1424689,0,62821,0,2002
MD,judicial and legal,3266,0,12173355,0,3042,0,370,0,11586916,0,586439,0,38631,0,2002
MD,police protection - officers,10992,0,50201290,0,10893,0,272,0,49929508,0,271782,0,17151,0,2002
MD,police protection - other,3868,0,13568186,0,3280,0,1248,0,12482939,0,1085247,0,99337,0,2002
MD,fire protection - firefighters,5573,0,25061157,0,5508,0,143,0,24927397,0,133760,0,11658,0,2002
MD,fire protection - other,413,0,1708234,0,401,0,20,0,1679127,0,29107,0,1882,0,2002
MD,corrections,2939,0,10580913,0,2893,0,65,0,10451382,0,129531,0,8069,0,2002
MD,highways,4881,0,14997644,0,4809,0,120,0,14827327,0,170317,0,12306,0,2002
MD,air transportation,21,0,62013,0,19,0,4,0,59478,0,2535,0,305,0,2002
MD,water transport and terminals,8,0,28972,0,6,0,13,0,22151,0,6821,0,401,0,2002
MD,public welfare,3472,0,10379725,0,2544,0,1362,0,8239093,0,2140632,0,156063,0,2002
MD,health,4132,0,14039839,0,3438,0,1012,0,11968545,0,2071294,0,119027,0,2002
MD,hospitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
MD,solid waste management,2493,0,6097980,0,2365,0,208,0,5896016,0,201964,0,22049,0,2002
MD,sewerage,3316,0,11592275,0,3294,0,58,0,11514829,0,77446,0,4231,0,2002
MD,parks and recreation,6679,0,17826658,0,4703,0,5221,0,14593577,0,3233081,0,342630,0,2002
MD,housing and community development,2642,0,7983636,0,2509,0,185,0,7619902,0,363734,0,20938,0,2002
MD,natural resources,398,0,1502007,0,379,0,34,0,1448583,0,53424,0,3123,0,2002
MD,water transport and terminals,2247,0,7682959,0,2232,0,36,0,7638338,0,44621,0,2639,0,2002
MD,electric power,87,0,319212,0,87,0,0,0,319212,0,0,0,0,0,2002
MD,gas supply,13,0,36446,0,13,0,0,0,36446,0,0,0,0,0,2002
MD,transit,920,0,3024387,0,733,0,244,0,2589342,0,435045,0,33025,0,2002
MD,education - elementary and secondary instructional,78970,0,333292009,0,71707,0,17273,0,311074984,0,22217025,0,1221054,0,2002
MD,education - elementary and secondary other,32903,0,85833805,0,26725,0,10902,0,73115791,0,12718014,0,1013931,0,2002
MD,education - higher education instructional,3733,0,16677378,0,2030,0,5870,0,11287276,0,5390102,0,287849,0,2002
MD,education - higher education other,6313,0,18760830,0,4398,0,4339,0,15709889,0,3050941,0,324030,0,2002
MD,libraries,2908,0,7602307,0,2107,0,1826,0,6288027,0,1314280,0,134915,0,2002
MD,other and unallocable,4619,0,15105197,0,4145,0,829,0,14236077,0,869120,0,80914,0,2002
MA,total,234884,0,846359268,0,215232,0,52366,0,799392394,0,46966874,0,3306791,0,2002
MA,financial administration,4667,0,15820910,0,4192,0,1336,0,14470899,0,1350011,0,82519,0,2002
MA,other government administration,3819,0,13398606,0,3343,0,1714,0,12075441,0,1323165,0,82801,0,2002
MA,judicial and legal,293,0,1308700,0,276,0,49,0,1242690,0,66010,0,2561,0,2002
MA,police protection - officers,14927,0,70159524,0,14571,0,1443,0,69271495,0,888029,0,61080,0,2002
MA,police protection - other,3095,0,8295307,0,2528,0,1831,0,7016970,0,1278337,0,97118,0,2002
MA,fire protection - firefighters,12583,0,54086511,0,12135,0,3096,0,53117280,0,969231,0,77500,0,2002
MA,fire protection - other,582,0,1999899,0,502,0,259,0,1825854,0,174045,0,12640,0,2002
MA,corrections,2991,0,11118784,0,2970,0,50,0,11064383,0,54401,0,3520,0,2002
MA,highways,6251,0,21397571,0,6166,0,312,0,21167427,0,230144,0,15870,0,2002
MA,air transportation,142,0,456900,0,133,0,26,0,434080,0,22820,0,1582,0,2002
MA,water transport and terminals,71,0,217984,0,64,0,17,0,204846,0,13138,0,1159,0,2002
MA,public welfare,2307,0,6278757,0,1842,0,1316,0,5336469,0,942288,0,79437,0,2002
MA,health,3044,0,10704024,0,2663,0,1133,0,9647653,0,1056371,0,65677,0,2002
MA,hospitals,2679,0,5906339,0,2679,0,0,0,5906339,0,0,0,0,0,2002
MA,solid waste management,1393,0,4074650,0,1307,0,281,0,3887820,0,186830,0,16236,0,2002
MA,sewerage,1989,0,7179365,0,1899,0,243,0,6995332,0,184033,0,15116,0,2002
MA,parks and recreation,2148,0,6361844,0,1727,0,1777,0,5465870,0,895974,0,73436,0,2002
MA,housing and community development,4947,0,16763963,0,4687,0,644,0,16144916,0,619047,0,43253,0,2002
MA,natural resources,395,0,1228842,0,349,0,143,0,1132426,0,96416,0,7721,0,2002
MA,water transport and terminals,2980,0,10491430,0,2891,0,362,0,10288517,0,202913,0,14492,0,2002
MA,electric power,1213,0,5714175,0,1201,0,50,0,5680459,0,33716,0,2584,0,2002
MA,gas supply,117,0,551734,0,113,0,8,0,542011,0,9723,0,759,0,2002
MA,transit,5432,0,25599009,0,4994,0,599,0,24267440,0,1331569,0,76960,0,2002
MA,education - elementary and secondary instructional,113812,0,434025258,0,106822,0,16364,0,415272867,0,18752391,0,1161595,0,2002
MA,education - elementary and secondary other,34094,0,86566001,0,28160,0,13707,0,74661316,0,11904685,0,986070,0,2002
MA,education - higher education instructional,49,0,194823,0,26,0,133,0,110284,0,84539,0,3522,0,2002
MA,education - higher education other,15,0,46441,0,14,0,3,0,43536,0,2905,0,146,0,2002
MA,libraries,3991,0,11208998,0,2814,0,3166,0,8699069,0,2509929,0,202353,0,2002
MA,other and unallocable,4858,0,15202919,0,4164,0,2304,0,13418705,0,1784214,0,119084,0,2002
MI,total,375632,0,1288038019,0,316603,0,151739,0,1164644591,0,123393428,0,9987255,0,2002
MI,financial administration,7157,0,23910315,0,6253,0,3466,0,21487204,0,2423111,0,169439,0,2002
MI,other government administration,8487,0,27771619,0,6731,0,12363,0,22999431,0,4772188,0,306287,0,2002
MI,judicial and legal,10482,0,37459819,0,9965,0,986,0,36231165,0,1228654,0,90184,0,2002
MI,police protection - officers,18450,0,78235980,0,18108,0,990,0,77540523,0,695457,0,60627,0,2002
MI,police protection - other,4596,0,12222457,0,3761,0,2238,0,10815217,0,1407240,0,146339,0,2002
MI,fire protection - firefighters,7420,0,28964067,0,6049,0,10277,0,26423754,0,2540313,0,237192,0,2002
MI,fire protection - other,768,0,2568447,0,704,0,342,0,2441761,0,126686,0,11033,0,2002
MI,corrections,5588,0,19193885,0,5192,0,730,0,18371817,0,822068,0,67559,0,2002
MI,highways,10231,0,35509608,0,9933,0,606,0,34952476,0,557132,0,51612,0,2002
MI,air transportation,1193,0,4967656,0,1167,0,61,0,4913389,0,54267,0,4656,0,2002
MI,water transport and terminals,43,0,170675,0,43,0,5,0,170375,0,300,0,12,0,2002
MI,public welfare,2399,0,5912581,0,1753,0,1297,0,4741961,0,1170620,0,110533,0,2002
MI,health,11767,0,36072729,0,10172,0,3579,0,32248444,0,3824285,0,276970,0,2002
MI,hospitals,8952,0,26311373,0,7147,0,3100,0,21466951,0,4844422,0,308252,0,2002
MI,solid waste management,1782,0,5313210,0,1675,0,368,0,5104107,0,209103,0,21016,0,2002
MI,sewerage,4093,0,15378584,0,4010,0,245,0,15207285,0,171299,0,14983,0,2002
MI,parks and recreation,5356,0,14434805,0,3496,0,5094,0,11433116,0,3001689,0,323861,0,2002
MI,housing and community development,1704,0,5304819,0,1599,0,187,0,5105427,0,199392,0,17664,0,2002
MI,natural resources,838,0,2357858,0,715,0,238,0,2122292,0,235566,0,20450,0,2002
MI,water transport and terminals,4800,0,16611369,0,4700,0,300,0,16404320,0,207049,0,18918,0,2002
MI,electric power,1580,0,7195910,0,1573,0,29,0,7177010,0,18900,0,1530,0,2002
MI,gas supply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
MI,transit,5242,0,15006225,0,4808,0,709,0,14159161,0,847064,0,75855,0,2002
MI,education - elementary and secondary instructional,145643,0,579947321,0,129022,0,41542,0,540709309,0,39238012,0,2755509,0,2002
MI,education - elementary and secondary other,82293,0,203008827,0,60723,0,39696,0,165614832,0,37393995,0,3588619,0,2002
MI,education - higher education instructional,5090,0,25224085,0,3034,0,6858,0,17739929,0,7484156,0,359522,0,2002
MI,education - higher education other,7747,0,24345534,0,5237,0,6987,0,19769177,0,4576357,0,440901,0,2002
MI,libraries,4411,0,11163920,0,2564,0,4489,0,7963086,0,3200834,0,319233,0,2002
MI,other and unallocable,7520,0,23474341,0,6469,0,4957,0,21331072,0,2143269,0,188499,0,2002
MN,total,205743,0,674938462,0,167119,0,96047,0,579875075,0,95063387,0,6787865,0,2002
MN,financial administration,4937,0,18096430,0,4572,0,2348,0,17050239,0,1046191,0,75298,0,2002
MN,other government administration,4794,0,17569578,0,4064,0,11209,0,14948695,0,2620883,0,162300,0,2002
MN,judicial and legal,3539,0,14458522,0,3207,0,587,0,13334876,0,1123646,0,58049,0,2002
MN,police protection - officers,7773,0,34749980,0,7585,0,596,0,34271171,0,478809,0,34925,0,2002
MN,police protection - other,2511,0,8182436,0,2198,0,671,0,7497086,0,685350,0,54422,0,2002
MN,fire protection - firefighters,2283,0,9085598,0,1742,0,4835,0,8214865,0,870733,0,98378,0,2002
MN,fire protection - other,165,0,608562,0,140,0,104,0,534061,0,74501,0,5296,0,2002
MN,corrections,4876,0,17680920,0,4509,0,725,0,16630855,0,1050065,0,63999,0,2002
MN,highways,7482,0,27548439,0,7118,0,1187,0,26337439,0,1211000,0,71294,0,2002
MN,air transportation,609,0,2975236,0,584,0,64,0,2887726,0,87510,0,4823,0,2002
MN,water transport and terminals,43,0,201142,0,40,0,6,0,196563,0,4579,0,421,0,2002
MN,public welfare,11215,0,36898421,0,9799,0,2213,0,33279909,0,3618512,0,246467,0,2002
MN,health,3667,0,12544886,0,2530,0,2364,0,9171566,0,3373320,0,199824,0,2002
MN,hospitals,11271,0,37730487,0,6879,0,6959,0,23166722,0,14563765,0,765599,0,2002
MN,solid waste management,915,0,2873690,0,831,0,258,0,2697492,0,176198,0,16412,0,2002
MN,sewerage,1117,0,4086606,0,1060,0,240,0,3942303,0,144303,0,11123,0,2002
MN,parks and recreation,4725,0,13661461,0,3047,0,4757,0,10306863,0,3354598,0,296774,0,2002
MN,housing and community development,1905,0,6761534,0,1756,0,374,0,6409985,0,351549,0,25470,0,2002
MN,natural resources,809,0,2331213,0,705,0,368,0,2118328,0,212885,0,17938,0,2002
MN,water transport and terminals,1639,0,6233342,0,1560,0,278,0,6043455,0,189887,0,15181,0,2002
MN,electric power,1074,0,4488129,0,1039,0,88,0,4412662,0,75467,0,5607,0,2002
MN,gas supply,165,0,743765,0,163,0,5,0,737444,0,6321,0,421,0,2002
MN,transit,341,0,926574,0,276,0,139,0,786985,0,139589,0,11454,0,2002
MN,education - elementary and secondary instructional,86763,0,291331057,0,72388,0,27776,0,254877240,0,36453817,0,2495656,0,2002
MN,education - elementary and secondary other,34521,0,82897267,0,24448,0,22996,0,63227970,0,19669297,0,1743635,0,2002
MN,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
MN,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
MN,libraries,2512,0,7282390,0,1586,0,2164,0,5234618,0,2047772,0,163350,0,2002
MN,other and unallocable,4092,0,12990797,0,3293,0,2736,0,11557957,0,1432840,0,143749,0,2002
MS,total,126519,0,280353039,0,117195,0,25700,0,263111356,0,17241683,0,1623449,0,2002
MS,financial administration,2501,0,5568469,0,2397,0,292,0,5375457,0,193012,0,19441,0,2002
MS,other government administration,2263,0,5707081,0,2044,0,1561,0,5045198,0,661883,0,41435,0,2002
MS,judicial and legal,1906,0,4553653,0,1750,0,664,0,4095681,0,457972,0,29848,0,2002
MS,police protection - officers,5521,0,14035567,0,5275,0,676,0,13654804,0,380763,0,43809,0,2002
MS,police protection - other,2050,0,3960879,0,1841,0,591,0,3616968,0,343911,0,36855,0,2002
MS,fire protection - firefighters,3355,0,8263877,0,3246,0,704,0,8116402,0,147475,0,19638,0,2002
MS,fire protection - other,95,0,229900,0,87,0,29,0,213972,0,15928,0,1548,0,2002
MS,corrections,1519,0,2730994,0,1456,0,159,0,2623020,0,107974,0,11843,0,2002
MS,highways,5026,0,9047196,0,4902,0,242,0,8864211,0,182985,0,22006,0,2002
MS,air transportation,154,0,386129,0,143,0,23,0,361971,0,24158,0,2411,0,2002
MS,water transport and terminals,116,0,278856,0,115,0,3,0,276890,0,1966,0,174,0,2002
MS,public welfare,390,0,569433,0,344,0,113,0,501963,0,67470,0,8078,0,2002
MS,health,249,0,567406,0,227,0,69,0,535318,0,32088,0,3793,0,2002
MS,hospitals,17586,0,48212658,0,15427,0,3827,0,42195072,0,6017586,0,378356,0,2002
MS,solid waste management,1140,0,2011734,0,1101,0,94,0,1954368,0,57366,0,7221,0,2002
MS,sewerage,646,0,1335627,0,640,0,20,0,1323326,0,12301,0,1267,0,2002
MS,parks and recreation,1133,0,2060857,0,956,0,417,0,1794328,0,266529,0,31668,0,2002
MS,housing and community development,891,0,2097725,0,860,0,95,0,2045200,0,52525,0,5874,0,2002
MS,natural resources,495,0,914983,0,368,0,317,0,716842,0,198141,0,22301,0,2002
MS,water transport and terminals,1312,0,2676572,0,1279,0,97,0,2617668,0,58904,0,6300,0,2002
MS,electric power,458,0,1175364,0,443,0,31,0,1153648,0,21716,0,2771,0,2002
MS,gas supply,251,0,569947,0,249,0,6,0,565694,0,4253,0,303,0,2002
MS,transit,136,0,263980,0,125,0,33,0,247878,0,16102,0,1847,0,2002
MS,education - elementary and secondary instructional,48071,0,111597943,0,46786,0,4488,0,109687438,0,1910505,0,219502,0,2002
MS,education - elementary and secondary other,20757,0,29513202,0,17998,0,6826,0,26125951,0,3387251,0,475262,0,2002
MS,education - higher education instructional,2777,0,9863126,0,2387,0,1410,0,8440847,0,1422279,0,63793,0,2002
MS,education - higher education other,3371,0,7851329,0,2770,0,1853,0,7150270,0,701059,0,101299,0,2002
MS,libraries,912,0,1552463,0,677,0,619,0,1275384,0,277079,0,40350,0,2002
MS,other and unallocable,1438,0,2756089,0,1302,0,441,0,2535587,0,220502,0,24456,0,2002
MO,total,220909,0,601701476,0,200782,0,58965,0,561787470,0,39914006,0,3500972,0,2002
MO,financial administration,4090,0,10868772,0,3879,0,734,0,10466417,0,402355,0,38826,0,2002
MO,other government administration,3722,0,10544244,0,3334,0,3701,0,9464244,0,1080000,0,75267,0,2002
MO,judicial and legal,3564,0,10254467,0,3296,0,908,0,9607305,0,647162,0,50012,0,2002
MO,police protection - officers,11727,0,39940498,0,11558,0,663,0,39629430,0,311068,0,32330,0,2002
MO,police protection - other,4141,0,10387024,0,3880,0,749,0,9945865,0,441159,0,47517,0,2002
MO,fire protection - firefighters,5710,0,23303356,0,5503,0,2102,0,22994138,0,309218,0,36834,0,2002
MO,fire protection - other,433,0,1543291,0,406,0,178,0,1484642,0,58649,0,5562,0,2002
MO,corrections,2825,0,6936952,0,2696,0,334,0,6712832,0,224120,0,22671,0,2002
MO,highways,6971,0,17532633,0,6703,0,867,0,17008986,0,523647,0,53063,0,2002
MO,air transportation,1341,0,4826754,0,1315,0,69,0,4782925,0,43829,0,4589,0,2002
MO,water transport and terminals,4,0,12966,0,4,0,0,0,12966,0,0,0,0,0,2002
MO,public welfare,2658,0,4452007,0,2231,0,801,0,3845244,0,606763,0,73432,0,2002
MO,health,4327,0,11261926,0,3726,0,1426,0,10107723,0,1154203,0,106590,0,2002
MO,hospitals,9742,0,27132362,0,8266,0,2969,0,23013915,0,4118447,0,257883,0,2002
MO,solid waste management,944,0,2275421,0,873,0,146,0,2166971,0,108450,0,13005,0,2002
MO,sewerage,2658,0,8489072,0,2558,0,229,0,8300574,0,188498,0,19405,0,2002
MO,parks and recreation,4390,0,10622316,0,3233,0,3430,0,8842063,0,1780253,0,203915,0,2002
MO,housing and community development,1380,0,3609817,0,1292,0,236,0,3454938,0,154879,0,15744,0,2002
MO,natural resources,185,0,491782,0,169,0,81,0,454776,0,37006,0,3378,0,2002
MO,water transport and terminals,3236,0,9192362,0,3070,0,559,0,8874325,0,318037,0,32401,0,2002
MO,electric power,1750,0,7063664,0,1715,0,65,0,6970721,0,92943,0,6258,0,2002
MO,gas supply,238,0,889204,0,233,0,6,0,878773,0,10431,0,844,0,2002
MO,transit,3211,0,11504020,0,3107,0,250,0,11277516,0,226504,0,18260,0,2002
MO,education - elementary and secondary instructional,87430,0,256297589,0,82976,0,13515,0,247292062,0,9005527,0,753960,0,2002
MO,education - elementary and secondary other,41803,0,76548374,0,35322,0,14009,0,66333682,0,10214692,0,1106352,0,2002
MO,education - higher education instructional,2301,0,10444373,0,1526,0,3980,0,6542267,0,3902106,0,135132,0,2002
MO,education - higher education other,3814,0,10041396,0,2822,0,3438,0,8277628,0,1763768,0,172775,0,2002
MO,libraries,3179,0,6644609,0,2187,0,2888,0,4842190,0,1802419,0,174102,0,2002
MO,other and unallocable,3135,0,8590225,0,2902,0,632,0,8202352,0,387873,0,40865,0,2002
MT,total,34717,0,86913527,0,29086,0,14270,0,76959170,0,9954357,0,977625,0,2002
MT,financial administration,715,0,1614658,0,673,0,96,0,1535849,0,78809,0,8080,0,2002
MT,other government administration,807,0,1992379,0,697,0,552,0,1733819,0,258560,0,20032,0,2002
MT,judicial and legal,880,0,2306289,0,747,0,385,0,1993102,0,313187,0,23970,0,2002
MT,police protection - officers,1319,0,4272250,0,1298,0,58,0,4235130,0,37120,0,3788,0,2002
MT,police protection - other,537,0,1095199,0,472,0,153,0,981226,0,113973,0,11588,0,2002
MT,fire protection - firefighters,489,0,1708633,0,476,0,291,0,1684647,0,23986,0,2772,0,2002
MT,fire protection - other,57,0,149339,0,54,0,10,0,144568,0,4771,0,523,0,2002
MT,corrections,655,0,1437137,0,602,0,119,0,1339189,0,97948,0,9581,0,2002
MT,highways,1267,0,3371218,0,1244,0,47,0,3331663,0,39555,0,4072,0,2002
MT,air transportation,120,0,382174,0,112,0,29,0,366334,0,15840,0,1681,0,2002
MT,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
MT,public welfare,574,0,1041530,0,370,0,336,0,719392,0,322138,0,35701,0,2002
MT,health,838,0,2102965,0,649,0,531,0,1628151,0,474814,0,33129,0,2002
MT,hospitals,550,0,1311565,0,463,0,167,0,1089249,0,222316,0,15333,0,2002
MT,solid waste management,542,0,1319263,0,490,0,175,0,1234949,0,84314,0,9641,0,2002
MT,sewerage,315,0,900153,0,303,0,74,0,870962,0,29191,0,2980,0,2002
MT,parks and recreation,443,0,956065,0,314,0,436,0,785067,0,170998,0,22571,0,2002
MT,housing and community development,268,0,676495,0,233,0,65,0,597388,0,79107,0,6064,0,2002
MT,natural resources,280,0,555431,0,214,0,181,0,445497,0,109934,0,11984,0,2002
MT,water transport and terminals,375,0,983580,0,357,0,130,0,931428,0,52152,0,4599,0,2002
MT,electric power,5,0,12508,0,5,0,1,0,12350,0,158,0,14,0,2002
MT,gas supply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
MT,transit,174,0,392399,0,139,0,46,0,329296,0,63103,0,6044,0,2002
MT,education - elementary and secondary instructional,16592,0,44748515,0,14225,0,5461,0,40496204,0,4252311,0,403138,0,2002
MT,education - elementary and secondary other,5638,0,10592652,0,4017,0,3967,0,8091022,0,2501630,0,278421,0,2002
MT,education - higher education instructional,117,0,421218,0,92,0,163,0,324805,0,96413,0,4388,0,2002
MT,education - higher education other,181,0,430584,0,121,0,164,0,326907,0,103677,0,10381,0,2002
MT,libraries,313,0,620498,0,197,0,260,0,441383,0,179115,0,20288,0,2002
MT,other and unallocable,666,0,1518830,0,522,0,373,0,1289593,0,229237,0,26862,0,2002
NE,total,80821,0,228891473,0,69962,0,30524,0,209188744,0,19702729,0,1894505,0,2002
NE,financial administration,1888,0,4784012,0,1776,0,441,0,4541650,0,242362,0,22954,0,2002
NE,other government administration,1393,0,3362526,0,1217,0,2645,0,2811553,0,550973,0,37918,0,2002
NE,judicial and legal,1128,0,3283710,0,1029,0,247,0,3045806,0,237904,0,17433,0,2002
NE,police protection - officers,2995,0,10337561,0,2947,0,188,0,10228695,0,108866,0,10928,0,2002
NE,police protection - other,963,0,2309410,0,873,0,185,0,2159700,0,149710,0,15756,0,2002
NE,fire protection - firefighters,1198,0,5729717,0,1171,0,197,0,5690689,0,39028,0,5186,0,2002
NE,fire protection - other,46,0,148563,0,41,0,66,0,138908,0,9655,0,1006,0,2002
NE,corrections,1124,0,2801333,0,1069,0,144,0,2690179,0,111154,0,9856,0,2002
NE,highways,3168,0,8095928,0,3034,0,518,0,7769611,0,326317,0,28246,0,2002
NE,air transportation,256,0,735799,0,211,0,106,0,623176,0,112623,0,8001,0,2002
NE,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
NE,public welfare,1062,0,2395637,0,891,0,409,0,2065762,0,329875,0,30069,0,2002
NE,health,598,0,1863496,0,475,0,387,0,1577740,0,285756,0,21973,0,2002
NE,hospitals,4265,0,11135727,0,3401,0,1705,0,9334726,0,1801001,0,148832,0,2002
NE,solid waste management,300,0,783216,0,270,0,141,0,725791,0,57425,0,6568,0,2002
NE,sewerage,456,0,1466314,0,425,0,206,0,1348213,0,118101,0,8453,0,2002
NE,parks and recreation,1052,0,2368593,0,734,0,1023,0,1912693,0,455900,0,55850,0,2002
NE,housing and community development,726,0,1926529,0,599,0,297,0,1717876,0,208653,0,20645,0,2002
NE,natural resources,741,0,1592471,0,687,0,244,0,1493928,0,98543,0,9697,0,2002
NE,water transport and terminals,889,0,2934633,0,835,0,290,0,2788194,0,146439,0,13418,0,2002
NE,electric power,6824,0,31978706,0,6684,0,299,0,31630181,0,348525,0,24613,0,2002
NE,gas supply,530,0,2143707,0,530,0,3,0,2143283,0,424,0,46,0,2002
NE,transit,413,0,1225883,0,404,0,26,0,1209256,0,16627,0,2098,0,2002
NE,education - elementary and secondary instructional,32231,0,89841515,0,28217,0,9473,0,82981002,0,6860513,0,671118,0,2002
NE,education - elementary and secondary other,11939,0,22843773,0,8889,0,7104,0,17874870,0,4968903,0,534779,0,2002
NE,education - higher education instructional,1154,0,4347104,0,826,0,1169,0,3383400,0,963704,0,54809,0,2002
NE,education - higher education other,1513,0,3621683,0,1269,0,1153,0,3275583,0,346100,0,42238,0,2002
NE,libraries,704,0,1497091,0,365,0,881,0,998612,0,498479,0,59791,0,2002
NE,other and unallocable,1265,0,3336836,0,1093,0,977,0,3027667,0,309169,0,32224,0,2002
NV,total,68226,0,261047755,0,58822,0,19572,0,239141329,0,21906426,0,1641147,0,2002
NV,financial administration,1373,0,5957911,0,1339,0,62,0,5877499,0,80412,0,5882,0,2002
NV,other government administration,1802,0,7557191,0,1716,0,223,0,7374823,0,182368,0,15318,0,2002
NV,judicial and legal,2532,0,11357901,0,2435,0,222,0,11128727,0,229174,0,17074,0,2002
NV,police protection - officers,3701,0,19596814,0,3692,0,32,0,19567153,0,29661,0,1589,0,2002
NV,police protection - other,2200,0,8992258,0,1955,0,765,0,8538250,0,454008,0,42356,0,2002
NV,fire protection - firefighters,1897,0,11921876,0,1866,0,214,0,11861651,0,60225,0,5562,0,2002
NV,fire protection - other,326,0,1760131,0,310,0,40,0,1732719,0,27412,0,2403,0,2002
NV,corrections,2444,0,11190875,0,2335,0,284,0,10958014,0,232861,0,19044,0,2002
NV,highways,1441,0,6212557,0,1419,0,59,0,6163436,0,49121,0,4021,0,2002
NV,air transportation,1175,0,4014299,0,1148,0,59,0,3968870,0,45429,0,4714,0,2002
NV,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
NV,public welfare,656,0,2397515,0,582,0,164,0,2242491,0,155024,0,12951,0,2002
NV,health,792,0,3085436,0,765,0,71,0,2978768,0,106668,0,4750,0,2002
